Time,Port No,Sensor No,L1,L2,L3,EXT,OUT
2022-01-18 17:55:06,110,1,0.0,0.0,0.0,23.3338,23.6458
2022-01-18 17:55:06,110,2,0.0,0.0,0.0,20.3843,20.323
2022-01-18 17:55:06,110,3,0.0,0.0,0.0,22.5302,22.6349
2022-01-18 17:55:06,110,4,0.0,0.0,0.0,25.3307,22.4787
2022-01-18 17:55:06,110,5,0.0,0.0,0.0,22.7434,22.6852
2022-01-18 17:55:06,110,6,0.0,0.0,0.0,21.3864,21.3249
2022-01-18 17:55:06,110,7,0.0,0.0,0.0,26.3393,27.5232
2022-01-18 17:55:06,110,8,0.0,0.0,0.0,22.3045,22.3102
2022-01-18 17:55:06,110,9,0.0,0.0,0.0,25.442,22.4176
2022-01-18 17:55:06,110,10,0.0,0.0,0.0,22.6467,22.6707
2022-01-18 17:55:06,110,11,0.0,0.0,0.0,24.7575,24.7013
2022-01-18 17:55:06,110,12,0.0,0.0,0.0,22.4724,22.8828
2022-01-18 17:55:06,110,13,0.0,0.0,0.0,21.1943,21.1855
2022-01-18 17:55:06,110,14,0.0,0.0,0.0,25.4141,25.6283
2022-01-18 17:55:06,110,15,0.0,0.0,0.0,21.1354,125.0
2022-01-18 17:55:06,110,16,0.0,0.0,0.0,26.6549,26.5976
2022-01-18 17:55:06,400,1,49.3756,52.8668,46.4198,0.0,0.0
2022-01-18 17:55:06,400,2,49.276,52.4063,46.1976,0.0,0.0
2022-01-18 17:55:06,400,3,44.5938,47.4594,41.6562,0.0,0.0
2022-01-18 17:55:06,400,4,42.1919,44.4548,38.0748,0.0,0.0
2022-01-18 17:55:06,400,5,46.4792,49.572,42.3906,0.0,0.0
2022-01-18 17:55:06,400,6,29.9154,31.3093,28.4675,0.0,0.0
2022-01-18 17:55:06,400,7,23.0397,22.1799,22.5191,0.0,0.0
2022-01-18 17:55:06,400,8,37.0803,38.2665,34.7329,0.0,0.0
2022-01-18 17:55:06,400,9,55.6289,58.9941,50.0246,0.0,0.0
2022-01-18 17:55:06,400,10,41.8743,44.8288,37.0407,0.0,0.0
2022-01-18 17:55:06,400,11,52.5639,56.8146,47.865,0.0,0.0
2022-01-18 17:55:06,400,12,35.4614,36.8077,33.7675,0.0,0.0
2022-01-18 17:55:06,400,13,25.8994,26.3398,25.0816,0.0,0.0
2022-01-18 17:55:06,400,14,25.4898,25.5178,25.1171,0.0,0.0
2022-01-18 17:55:06,400,15,21.9743,22.1323,21.7551,0.0,0.0
2022-01-18 17:55:06,400,16,22.9292,22.0637,22.3404,0.0,0.0
